game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=lmo4od01; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,Xbox Series X,13m 11.000s,https://youtu.be/Z3IQpN6i4Ak?si=WVUM4BTZ2m3Abz2I,,solo,2025-05-23,1,adrenilinn,,,,http://www.speedrun.com/BO6Zombies/run/z009149z,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=10vmvxpl; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,Xbox Series X,5m 8.000s,https://youtu.be/Z3IQpN6i4Ak?si=WVUM4BTZ2m3Abz2I,,solo,2025-05-23,1,adrenilinn,,,,http://www.speedrun.com/BO6Zombies/run/z5w3745z,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q65x52ol; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,Xbox Series X,2m 14.000s,https://youtu.be/Z3IQpN6i4Ak?si=WVUM4BTZ2m3Abz2I,,solo,2025-05-23,1,adrenilinn,,,,http://www.speedrun.com/BO6Zombies/run/mkw82xxm,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=10vmvxpl; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,Xbox Series X,7m 46.000s,https://youtu.be/57iLx_-QTjw?si=oE74xPwpE6E4L0GB,,solo,2025-04-03,1,adrenilinn,,,,http://www.speedrun.com/BO6Zombies/run/y6g4nn6m,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q65x52ol; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,Xbox Series X,3m 0.400s,https://youtu.be/57iLx_-QTjw?si=oE74xPwpE6E4L0GB,,solo,2025-04-03,1,adrenilinn,,,,http://www.speedrun.com/BO6Zombies/run/y8o4jj1m,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q65x52ol; 68k16z3l=ln8z4j0l; yn202mel=12vwvz2q; 9l7y25pl=qvvrvmyq; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,Xbox Series X,3m 19.000s,https://youtu.be/zc0TuSBjglY,,solo,2025-04-01,1,adrenilinn,,,,http://www.speedrun.com/BO6Zombies/run/zq2o43xz,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=lmo4od01; 68k16z3l=ln8z4j0l; yn202mel=12vwvz2q; 9l7y25pl=qvvrvmyq; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,Xbox Series X,16m 25.000s,https://youtu.be/B5iZ6dcXnbw,,solo,2025-04-01,1,adrenilinn,,,,http://www.speedrun.com/BO6Zombies/run/yoqgk17z,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=10vmvxpl; 68k16z3l=ln8z4j0l; yn202mel=12vwvz2q; 9l7y25pl=qvvrvmyq; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,Xbox Series X,8m 7.300s,https://youtu.be/B5iZ6dcXnbw,,solo,2025-04-01,1,adrenilinn,,,,http://www.speedrun.com/BO6Zombies/run/y2n45o6y,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=10vmvxpl; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,Xbox Series X,17m 32.000s,https://youtu.be/YZJwD2Ld-OY?si=7HJBQKwzWBRdGnsq,,solo,2024-11-24,1,adrenilinn,,,,http://www.speedrun.com/BO6Zombies/run/z0qvdgjm,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=lmo4od01; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,Xbox Series X,19m 49.870s,https://youtu.be/YZJwD2Ld-OY?si=gJgYvJNiLr2Jp7yi,,solo,2024-11-24,1,adrenilinn,,,,http://www.speedrun.com/BO6Zombies/run/m7ornk5y,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q65x52ol; 68k16z3l=ln8z4j0l; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,Xbox Series X,3m 33.190s,https://youtu.be/YZJwD2Ld-OY?si=HXA3Hkj43ztT-dvk,,solo,2024-11-24,1,adrenilinn,,,,http://www.speedrun.com/BO6Zombies/run/mk1jp63y,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=lmo4od01; 68k16z3l=ln8z4j0l; yn202mel=12vwvz2q; 9l7y25pl=qvvrvmyq; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,Xbox Series X,17m 57.000s,https://www.twitch.tv/videos/2304596104,,solo,2024-11-18,1,adrenilinn,,,,http://www.speedrun.com/BO6Zombies/run/ydl7v1jz,rejected
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=q65x52ol; 68k16z3l=ln8z4j0l; yn202mel=12vwvz2q; 9l7y25pl=qvvrvmyq; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,Xbox Series X,3m 25.000s,https://www.twitch.tv/videos/2304596104,,solo,2024-11-18,1,adrenilinn,,,,http://www.speedrun.com/BO6Zombies/run/zpxjkdgm,rejected
