game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,The Tomb,yn26gvjl=ln8kzvol; 68k16z3l=qyzjvg41; yn202mel=12vwvz2q; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; 6njprv5n=q5v7gj7l,PC,12m 21.000s,https://www.youtube.com/watch?v=scm-AMu2tVY,https://www.youtube.com/watch?v=_EKPQQ_a8tM; https://www.twitch.tv/videos/2518251434; https://www.youtube.com/watch?v=c_iETRtj4Po,co-op,2025-07-23,4,Penguine,fps_clash,JettLag,OLFAIDAN,http://www.speedrun.com/BO6Zombies/run/zn5njd9z,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=19292r4q; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; 68k1vezl=q75rg8y1,PC,9m 46.000s,https://www.youtube.com/watch?v=X_SiQKG7lSY,https://www.youtube.com/watch?v=JHG-8oi_9vI; https://www.youtube.com/watch?v=xDT_y4wYJqo,co-op,2025-07-21,3,Penguine,OLFAIDAN,Speedyx,,http://www.speedrun.com/BO6Zombies/run/yj70807y,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; 68k1vezl=q75rg8y1,PC,17m 19.590s,https://www.twitch.tv/videos/2362933924,,solo,2025-01-24,1,OLFAIDAN,,,,http://www.speedrun.com/BO6Zombies/run/mkoevj1z,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; 68k1vezl=q75rg8y1,PC,16m 32.920s,https://www.youtube.com/watch?v=OXfam-WvVNs,,solo,2024-12-29,1,OLFAIDAN,,,,http://www.speedrun.com/BO6Zombies/run/z5lj4g5y,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; 68k1vezl=q75rg8y1,PC,17m 54.890s,https://www.twitch.tv/videos/2314480676,,solo,2024-11-30,1,OLFAIDAN,,,,http://www.speedrun.com/BO6Zombies/run/mkoldw3z,verified
Call of Duty: Black Ops 6 Zombies,,Terminus,789v4yqn=1395r2k1; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=qvvrvmyq; rn1y7dvn=qyzj4671; 68k1vezl=1dk3yw5l,PC,19m 39.150s,https://youtu.be/3AuI16kxcuc?si=NsjXs5vpGHygVUCN,,solo,2024-11-23,1,OLFAIDAN,,,,http://www.speedrun.com/BO6Zombies/run/y2wlk16y,verified
