game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops Cold War Zombies,,Firebase Z,2lgr6kon=0137jrdl; 0nw715r8=xqk2g6yq; dlo750j8=jq6w74jl,PlayStation 4,59m 30.000s,https://youtu.be/dX2LvPFZvzI,,solo,2021-08-17,1,U_Got_Clapped,,,,http://www.speedrun.com/bocwz/run/y9317e2y,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PlayStation 4,1h 0m 51.280s,https://youtu.be/Z0ojEp61rXE,,solo,2021-07-24,1,U_Got_Clapped,,,,http://www.speedrun.com/bocwz/run/zgr372dm,verified
Call of Duty: Black Ops Cold War Zombies,,Die Maschine,2lgr6kon=0137jrdl; wledm3xn=4qyomy4l; gnxj7pgl=810y752l,PlayStation 4,1h 0m 52.028s,https://youtu.be/Z0ojEp61rXE,,solo,2021-07-24,1,U_Got_Clapped,,,,http://www.speedrun.com/bocwz/run/yo6v297y,rejected
