game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; onvyp7nm=9qjw9k01,PC,31.000s,https://youtu.be/Mkf1ZTorJ0s,,solo,2024-08-23,1,illest,,,,http://www.speedrun.com/iwzombies/run/z0qoje9m,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=jq6576jl; ylpkr68g=jq6yp6n1,PC,8m 3.000s,https://www.youtube.com/watch?v=a6O2u0IOXes,,solo,2024-01-24,1,illest,,,,http://www.speedrun.com/iwzombies/run/z1k4px7y,verified
Call of Duty: Infinite Warfare Zombies,,Beast From Beyond,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; 789kjr0l=21gev7xl,PC,12m 27.810s,https://youtu.be/QvJKcPLuYwM,,solo,2024-01-08,1,illest,,,,http://www.speedrun.com/iwzombies/run/z0x03wez,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=0139rzx1,PC,14m 47.120s,https://www.youtube.com/watch?v=3PjWNXW0a_8,,solo,2023-11-10,1,illest,,,,http://www.speedrun.com/iwzombies/run/m736j79y,verified
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; 6njo6684=xqk95y91,Xbox One,2m 59.000s,https://www.twitch.tv/illest_/v/1932842605,,co-op,2023-09-25,2,illest,MstEddyThomas,,,http://www.speedrun.com/iwzombies/run/yjwl1ndm,verified
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; 6njo6684=xqk95y91,Xbox One,2m 44.000s,https://www.twitch.tv/illest_/v/1930322279,,co-op,2023-09-25,2,illest,MstEddyThomas,,,http://www.speedrun.com/iwzombies/run/y2k5v45y,verified
Call of Duty: Infinite Warfare Zombies,,Shaolin Shuffle,9l73pdpn=p12z9e41; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; 6njo6684=xqk95y91,Xbox One,3m 0.000s,https://www.twitch.tv/illest_/v/1932852210,,co-op,2023-09-25,2,illest,MstEddyThomas,,,http://www.speedrun.com/iwzombies/run/m73g8vey,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; ylpkr68g=jq6yp6n1,Xbox One,9m 58.000s,https://www.twitch.tv/illest_/v/1930265494,,co-op,2023-09-24,2,illest,MstEddyThomas,,,http://www.speedrun.com/iwzombies/run/y4kwr52m,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; ylpkr68g=8100pnj1,Xbox One,2m 50.000s,https://www.twitch.tv/illest_/v/1931128050,,co-op,2023-09-24,2,illest,MstEddyThomas,,,http://www.speedrun.com/iwzombies/run/znek1wvz,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylpkr68g=8100pnj1,Xbox One,2m 49.000s,https://www.twitch.tv/illest_/v/1930312814,,co-op,2023-09-24,2,illest,MstEddyThomas,,,http://www.speedrun.com/iwzombies/run/mkq3g4lm,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=81pnew8l; ql6937l9=5lmon0m1; ylpkr68g=gq72gkn1,Xbox One,13m 40.000s,https://www.twitch.tv/illest_/v/1931156137,,co-op,2023-09-24,2,illest,MstEddyThomas,,,http://www.speedrun.com/iwzombies/run/z0x5rw9z,verified
