game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,The Tomb,yn26gvjl=q65gz6vl; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 6njprv5n=q5v7gj7l,PC,1m 7.350s,https://youtu.be/msoeWRW-6uI,,co-op,2025-04-21,2,Denymeister,BBQu1B,,,http://www.speedrun.com/BO6Zombies/run/mkwlv81m,rejected
Call of Duty: Black Ops 6 Zombies,,The Tomb,yn26gvjl=q65gz6vl; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 6njprv5n=q5v7gj7l,PC,1m 7.350s,https://youtu.be/iDeUwyqLPhM,,co-op,2025-04-21,2,BBQu1B,Denymeister,,,http://www.speedrun.com/BO6Zombies/run/z16315wm,rejected
Call of Duty: Black Ops 6 Zombies,,The Tomb,yn26gvjl=q65gz6vl; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; 6njprv5n=q5v7gj7l,PC,1m 8.350s,https://www.youtube.com/watch?v=iDeUwyqLPhM,https://youtu.be/msoeWRW-6uI,co-op,2025-04-21,2,Denymeister,BBQu1B,,,http://www.speedrun.com/BO6Zombies/run/y4n3xo2m,verified
Call of Duty: Black Ops 6 Zombies,,Shattered Veil,gnxqjz68=q5vk8e2l; 68k16z3l=qyzjvg41; yn202mel=14ovodkq; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; dloe7zen=qke78kkq,PC,1m 5.420s,https://youtu.be/DrWWBx72KbM,,solo,2025-04-21,1,BBQu1B,,,,http://www.speedrun.com/BO6Zombies/run/z5wo13jz,rejected
