game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,16m 39.098s,https://www.youtube.com/watch?v=O752OIty7D8,,solo,2024-11-29,1,HoodieAlvin,,,,http://www.speedrun.com/BO6Zombies/run/y9pov4vm,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,17m 28.053s,https://www.youtube.com/watch?v=j4WighK18KI,,solo,2024-11-28,1,HoodieAlvin,,,,http://www.speedrun.com/BO6Zombies/run/ydv8r7wy,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PC,17m 41.055s,https://www.youtube.com/watch?v=3OqJlow6IfM,,solo,2024-11-28,1,HoodieAlvin,,,,http://www.speedrun.com/BO6Zombies/run/y8o3donm,verified
