game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; onvyp7nm=0139rzx1,PlayStation 4,19m 16.633s,https://youtu.be/xGOiUtMMaDA,,co-op,2020-12-06,2,Kaiconcalkirst,Codnoobftw,,,http://www.speedrun.com/iwzombies/run/mr9v6d7m,verified
Call of Duty: Infinite Warfare Zombies,,Attack of the Radioactive Thing,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylq5o7lr=gq792yyl,PlayStation 4,26m 8.000s,https://youtu.be/CTFvcjM9fVQ,,co-op,2020-02-19,2,Mev,Codnoobftw,,,http://www.speedrun.com/iwzombies/run/yd6ppoqz,verified
Call of Duty: Infinite Warfare Zombies,,Rave in the Redwoods,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; ylpkr68g=0q5v8d2l,PlayStation 4,26m 58.000s,https://youtu.be/DS-3n6FjGuM,,co-op,2020-02-18,2,Mev,Codnoobftw,,,http://www.speedrun.com/iwzombies/run/znr65k3y,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=p12z9e41; yn2vqee8=xqk8okkq; ql6937l9=jq6576jl; onvyp7nm=rqvvdj6q,PlayStation 4,2m 11.000s,https://youtu.be/q-3AU_Mrui8,,solo,2020-02-18,1,Codnoobftw,,,,http://www.speedrun.com/iwzombies/run/z57n6xjm,verified
Call of Duty: Infinite Warfare Zombies,,Zombies in Spaceland,9l73pdpn=z19rxg81; yn2vqee8=xqk8okkq; ql6937l9=5lmon0m1; onvyp7nm=0139rzx1,PlayStation 4,20m 41.000s,https://youtu.be/LI69lXAuAmY,,co-op,2020-02-17,2,Mev,Codnoobftw,,,http://www.speedrun.com/iwzombies/run/yoj8q4dm,verified
