game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=0q56pm1p; wlewprl6=xqkd5nl9,Xbox One,50m 5.000s,https://www.youtube.com/watch?v=KioZVvZP1fA,,co-op,2021-02-19,2,Matthewwwwww,Demmon1131,,,http://www.speedrun.com/bo3zombies/run/yd9d7kvz,rejected
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=0q56pm1p; gnx65jnv=9qjwxn01,Xbox One,15m 5.000s,https://www.youtube.com/watch?v=pRs4ffbHPAA,,co-op,2020-05-05,2,Matthewwwwww,Got No Head,,,http://www.speedrun.com/bo3zombies/run/y65rod1z,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=0q56pm1p; ylp4kjlg=013w57kq,Xbox One,15m 10.000s,https://www.youtube.com/watch?v=2Lr2oCVByIw,,co-op,2020-05-05,2,Matthewwwwww,Got No Head,,,http://www.speedrun.com/bo3zombies/run/zqw4ev5z,verified
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=jq6zvgjl; 2lg396np=0q56pm1p; ylp4gjlg=gq72yjp1,Xbox One,55m 57.000s,https://www.youtube.com/watch?v=1p-jVpF2Mqo,,co-op,2019-12-28,2,Matthewwwwww,DemmoN1131,,,http://www.speedrun.com/bo3zombies/run/z01q5o8y,rejected
Call of Duty: Black Ops III Zombies,,Origins,dlo3exdl=jq6zvgjl; 2lg396np=0q56pm1p; ylp4gjlg=gq72yjp1,Xbox One,55m 57.000s,https://www.youtube.com/watch?v=1p-jVpF2Mqo,,co-op,2019-11-26,2,Matthewwwwww,Demmon1131,,,http://www.speedrun.com/bo3zombies/run/z07xog8y,verified
