game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=le2m29ml; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=qoxrn72q; ylpy4ejl=1928ypyq,PlayStation 4,4m 7.000s,https://youtu.be/mPsESX5FgJc?si=ikmdPJPW7b2oVAwL,,solo,2024-12-24,1,AboveAverage,,,,http://www.speedrun.com/BO6Zombies/run/ydv58vvy,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PlayStation 4,15m 2.000s,https://youtu.be/082o5pz-t2M?si=Kela3Z9uat_bbaIV,,solo,2024-12-23,1,AboveAverage,,,,http://www.speedrun.com/BO6Zombies/run/yvn3w86m,verified
Call of Duty: Black Ops 6 Zombies,,Liberty Falls,jlzpexqn=qoxrn5gq; 68k16z3l=qyzjvg41; yn202mel=lx5854g1; 9l7y25pl=q5v5v8vl; rn1y7dvn=q8kdzmkq; ylpy4ejl=1928ypyq,PlayStation 4,15m 43.600s,https://youtu.be/sm1UZDWqyic?si=kNLRS1ajRL4XKR_c,,solo,2024-12-23,1,AboveAverage,,,,http://www.speedrun.com/BO6Zombies/run/ylp05w2m,verified
