game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=5lemnvk1; 2lg396np=5leo55qo; ql659jn9=5lm8g6yq,PlayStation 4,14m 40.220s,https://youtu.be/Ydu66zcCDDg?si=PhzYCGFeNONIsq3K,,solo,2023-09-19,1,LipeERRO,,,,http://www.speedrun.com/bo3zombies/run/ywnp0gpy,verified
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=5leo55qo; gnx65jnv=9qjwxn01,PlayStation 4,14m 43.000s,https://youtu.be/p-y5x-Fjvew?si=H90z4Nj46cMhRRm_,,solo,2023-08-29,1,LipeERRO,,,,http://www.speedrun.com/bo3zombies/run/yonwe2jz,rejected
Call of Duty: Black Ops III Zombies,,Revelations,rn14k6kn=jq6zvzjl; 2lg396np=5leo55qo; gnx65jnv=9qjwxn01,PlayStation 4,14m 43.000s,https://youtu.be/p-y5x-Fjvew?si=Z0_iJz7L5cMiOB_l,,solo,2023-08-28,1,LipeERRO,,,,http://www.speedrun.com/bo3zombies/run/znvn203m,verified
