game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops II Zombies,,Town,789x5q8w=81wgw5q4; wl3drko8=le2669kl; jlz2ryl2=21dvo6j1,PC,5m 12.030s,https://youtu.be/f0Lr-r50a-g,,co-op,2023-12-08,2,MambaRuns,@l0qg,,,http://www.speedrun.com/bo2zombies/run/zg8ex50y,rejected
Call of Duty: Black Ops II Zombies,,TranZit,789x5q8w=5lmyj4lv; wl3drko8=q5v99y2l; 2lg32qnp=p12o4vdl,PC,3m 30.790s,https://youtu.be/FTdo-KSowp0,,solo,2023-12-08,1,MambaRuns,,,,http://www.speedrun.com/bo2zombies/run/znevkdlz,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=jqzdkmlp,PC,1m 53.240s,https://youtu.be/Xk6HgLI19N4,,solo,2024-01-18,1,MambaRuns,,,,http://www.speedrun.com/bo3zombies/run/yd2o2oxm,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=5leo55qo; jlzz6xl2=0q54r9rl,PC,54.830s,https://youtu.be/fEKYQhkdNdI,,solo,2024-01-18,1,MambaRuns,,,,http://www.speedrun.com/bo3zombies/run/y2krkr7y,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PC,3m 6.000s,https://youtu.be/WIA_Y1GvrNk,,solo,2024-01-16,1,MambaRuns,,,,http://www.speedrun.com/bo3zombies/run/zg89gdey,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=5leo55qo; 38dw04n0=jq6om7qm,PC,1m 28.650s,https://youtu.be/tjSnyJqTixQ,,solo,2024-01-16,1,MambaRuns,,,,http://www.speedrun.com/bo3zombies/run/y9kw93ez,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=jqzdk2lp,PC,2m 19.810s,https://youtu.be/ig9yQL6oJNg,,solo,2024-01-12,1,MambaRuns,,,,http://www.speedrun.com/bo3zombies/run/yjwq93nm,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=xqkmomkl; 2lg396np=5leo55qo; 6njz75l4=jqzdkmlp,PC,2m 11.970s,https://youtu.be/f02etDsEvlw,,solo,2023-12-14,1,MambaRuns,,,,http://www.speedrun.com/bo3zombies/run/me00v90z,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=5leo55qo; jlzz6xl2=0q54r9rl,PC,57.930s,https://youtu.be/u6kkreLBjGQ,,solo,2023-12-08,1,MambaRuns,,,,http://www.speedrun.com/bo3zombies/run/mr2l9e2y,verified
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=5leo55qo; 38dw04n0=81wer8o1,PC,2m 52.035s,https://youtu.be/I4fm0CzKhAE,,solo,2023-12-08,1,MambaRuns,,,,http://www.speedrun.com/bo3zombies/run/m730g45y,rejected
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=5lemnmk1; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PC,2m 55.021s,https://youtu.be/LcCZ4oN9Lv8,,solo,2023-12-08,1,MambaRuns,,,,http://www.speedrun.com/bo3zombies/run/yd2j5pqm,rejected
Call of Duty: Black Ops III Zombies,,Der Eisendrache,wl33v49l=jqzxgx81; 2lg396np=5leo55qo; 38dw04n0=81wer8o1,PC,3m 12.490s,https://youtu.be/XknO7SkLYXU,,solo,2023-12-08,1,MambaRuns,,,,http://www.speedrun.com/bo3zombies/run/yvvp65xy,verified
