game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Moon,gnxrqmpn=810w692q; 2lg396np=5leo55qo; 2lg7k6lp=mlnexenl,PC,31.717s,https://youtu.be/LCED5463tH0,,solo,2023-05-03,1,slowrunnermichael,,,,http://www.speedrun.com/bo3zombies/run/y2g3kl6z,verified
Call of Duty: Black Ops III Zombies,,Shi No Numa,r8ro6x28=z198xd8q; 2lg396np=5leo55qo; onvmywnm=klrj942q,PC,40.840s,https://youtu.be/pcLGXVg97VA,,solo,2023-05-03,1,slowrunnermichael,,,,http://www.speedrun.com/bo3zombies/run/mk04plvz,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=xqkmo6kl; 2lg396np=5leo55qo; jlzz6xl2=0q54r9rl,PC,1m 20.840s,https://youtu.be/g6z9XLJK4To,,solo,2023-05-03,1,slowrunnermichael,,,,http://www.speedrun.com/bo3zombies/run/mk04p31z,verified
