game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Gorod Krovi,68kdwxyl=mlnzezjl; 2lg396np=5leo55qo; ylqx7m8r=013w4rdq,PC,2m 45.950s,https://www.youtube.com/watch?v=rS1rYFZk1No,,solo,2024-07-02,1,DeshMonster,,,,http://www.speedrun.com/bo3zombies/run/y9j48nkm,verified
Call of Duty: Black Ops III Zombies,,Shadows of Evil,0nwkydkn=0q5g4g2l; 2lg396np=5leo55qo; wlewprl6=jq6yg731,PC,2m 29.920s,https://www.youtube.com/watch?v=WG_6Op8Iw9s,,solo,2024-06-13,1,DeshMonster,,,,http://www.speedrun.com/bo3zombies/run/zp6v1wvm,verified
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=81pde681; 2lg396np=5leo55qo; jlzz6xl2=814k4d0l,PC,2m 47.550s,https://www.youtube.com/watch?v=2Ls-65GMLbA,,solo,2024-06-11,1,DeshMonster,,,,http://www.speedrun.com/bo3zombies/run/ydnoxd0m,verified
