game,map,category,sub_category,platform,time_primary,main_video,other_links,game_type,date,player_count,player_1,player_2,player_3,player_4,run_url,status
Call of Duty: Black Ops III Zombies,,Verruckt,38djgk18=rqvexz61; 2lg396np=0q56pm1p; ql659jn9=5lm8g6yq,PC,19m 12.160s,https://www.youtube.com/watch?v=tWsBn4Q6c9g,,co-op,2020-12-19,2,fcjd,juanathan2023,,,http://www.speedrun.com/bo3zombies/run/z1o6dpgm,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=p12x9x4l; 2lg396np=5leo55qo; 6njz75l4=5leo05qo,PC,1h 46m 38.036s,https://www.youtube.com/watch?v=2iL-NKaOS9s,,solo,2020-12-02,1,fcjd,,,,http://www.speedrun.com/bo3zombies/run/z1oknl7m,rejected
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=gq7r2zdl; 2lg396np=0q56pm1p; ylp4kjlg=4lxgn5jq,PC,51m 52.050s,https://www.youtube.com/watch?v=LRFEhKbesqs,,co-op,2020-12-02,2,fcjd,juanathan2023,,,http://www.speedrun.com/bo3zombies/run/zxdwx3ey,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=p12x9x4l; 2lg396np=5leo55qo; 6njz75l4=5leo05qo,PC,1h 46m 38.360s,https://www.youtube.com/watch?v=2iL-NKaOS9s,,solo,2020-11-27,1,fcjd,,,,http://www.speedrun.com/bo3zombies/run/z53p8p5y,rejected
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=gq7r2zdl; 2lg396np=0q56pm1p; ylp4kjlg=5q84y46l,PC,10m 52.433s,https://www.youtube.com/watch?v=H9EJsnKVfkY&feature=emb_title,,co-op,2020-11-09,2,fcjd,juanathan2023,,,http://www.speedrun.com/bo3zombies/run/z09og0ez,verified
Call of Duty: Black Ops III Zombies,,The Giant,2lggkx3l=81pded81; 2lg396np=0q56pm1p; 6njz75l4=5lm8wnjq,PC,3m 4.049s,https://www.youtube.com/watch?v=BGxH7Pv-Cbg,,co-op,2020-10-22,2,Juan,fcjd,,,http://www.speedrun.com/bo3zombies/run/yd094vjz,verified
Call of Duty: Black Ops III Zombies,,Ascension,e8mmgxv8=21g29o8l; 2lg396np=0q56pm1p; ylp4kjlg=5q84y46l,PC,10m 52.003s,https://www.youtube.com/watch?v=H9EJsnKVfkY,,co-op,2020-10-22,2,fcjd,juanathan2023,,,http://www.speedrun.com/bo3zombies/run/zq4gppxm,rejected
Call of Duty: Black Ops III Zombies,,Kino Der Toten,5ly7ydkl=p12x944l; 2lg396np=0q56pm1p; jlzz6xl2=0q54r9rl,PC,5m 55.010s,https://www.youtube.com/watch?v=vyLmQ2iPH18&feature=youtu.be,,co-op,2020-08-12,2,fcjd,juanathan2023,,,http://www.speedrun.com/bo3zombies/run/zqwn7w1z,rejected
