game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo6,liberty-falls,first-room,with-gobblegums-with-support,xbox,http://twitch.tv/videos/2298135481,,solo,32,1,Raymond|nstead,,,,0,
bo6,citadelle-des-morts,first-room,no-gobblegums-no-support,xbox,https://youtube.com/watch?v=z-ET3qhkkQM,,solo,26,1,Raymond|nstead,,,,0,
