game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,origins,no-aat,classic-gobblegum-only,steam,https://youtube.com/watch?v=Pt-dJvYuEDs,,solo,74,1,Sora The Firekeeper,,,,0,
waw,der-riese,no-power,original,steam,https://youtube.com/watch?v=BUYoneMMjGc,,solo,26,1,Sora The Firekeeper,,,,0,
