game,map,record,sub_record,platform,main_video,other_links,game_type,achieved,player_count,player_1,player_2,player_3,player_4,is_world_record,added
bo3,origins,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=w_UwMxD8FgI,,co-op,1:08:18,2,Dcjacko,Jokestar212,,,0,
bo3,origins,ee-speedrun,mega-gobblegum,playstation,https://youtube.com/watch?v=kucNx7hZQ0E,,solo,1:31:52,1,Dcjacko,,,,0,
