id,mapId,map_slug,game,slug,name,type,isActive,difficulty,criteria,first_room_variant,bo3_gum,bo4_elixir,bocw_support,bo6_gum,bo6_support,bo7_gum,bo7_support,use_fortune_cards,use_directors_cut,rampage_inducer_used,vanguard_void_used,challenge_type,round,max_time_seconds
cmm86u7mo0dh7oepnqyjruwg4,cmm07kxdt000611b1tpp6rw3c,aw-carrier,AW,starting-room-bulldog-side-20,First Room (Bulldog Side) Round 20,CHALLENGE_COMPLETE,true,null,"{""round"":20,""challengeType"":""STARTING_ROOM"",""firstRoomVariant"":""BULLDOG_SIDE""}",BULLDOG_SIDE,null,null,null,null,null,null,null,null,null,null,null,STARTING_ROOM,20,null
cmm86u7nt0dh9oepny41tghyb,cmm07kxdt000611b1tpp6rw3c,aw-carrier,AW,starting-room-bulldog-side-30,First Room (Bulldog Side) Round 30,CHALLENGE_COMPLETE,true,null,"{""round"":30,""challengeType"":""STARTING_ROOM"",""firstRoomVariant"":""BULLDOG_SIDE""}",BULLDOG_SIDE,null,null,null,null,null,null,null,null,null,null,null,STARTING_ROOM,30,null
cmm86u7ox0dhboepno5kt7rff,cmm07kxdt000611b1tpp6rw3c,aw-carrier,AW,starting-room-mixed-20,First Room (Mixed) Round 20,CHALLENGE_COMPLETE,true,null,"{""round"":20,""challengeType"":""STARTING_ROOM"",""firstRoomVariant"":""MIXED""}",MIXED,null,null,null,null,null,null,null,null,null,null,null,STARTING_ROOM,20,null
cmm86u7q40dhdoepnwroo1vk3,cmm07kxdt000611b1tpp6rw3c,aw-carrier,AW,starting-room-mixed-30,First Room (Mixed) Round 30,CHALLENGE_COMPLETE,true,null,"{""round"":30,""challengeType"":""STARTING_ROOM"",""firstRoomVariant"":""MIXED""}",MIXED,null,null,null,null,null,null,null,null,null,null,null,STARTING_ROOM,30,null
cmm86u7kf0dh3oepnbno1e629,cmm07kxdt000611b1tpp6rw3c,aw-carrier,AW,starting-room-mk14-side-20,First Room (MK14 Side) Round 20,CHALLENGE_COMPLETE,true,null,"{""round"":20,""challengeType"":""STARTING_ROOM"",""firstRoomVariant"":""MK14_SIDE""}",MK14_SIDE,null,null,null,null,null,null,null,null,null,null,null,STARTING_ROOM,20,null
cmm86u7ll0dh5oepnjthehpts,cmm07kxdt000611b1tpp6rw3c,aw-carrier,AW,starting-room-mk14-side-30,First Room (MK14 Side) Round 30,CHALLENGE_COMPLETE,true,null,"{""round"":30,""challengeType"":""STARTING_ROOM"",""firstRoomVariant"":""MK14_SIDE""}",MK14_SIDE,null,null,null,null,null,null,null,null,null,null,null,STARTING_ROOM,30,null
cmly7hgj100ix2rsdigg3h73b,cmlqchx4e000vacukms13ihyy,bo1-verruckt,BO1,starting-room-quick-side-10,First Room (Quick Side) Round 10,CHALLENGE_COMPLETE,false,null,"{""round"":10,""challengeType"":""STARTING_ROOM"",""firstRoomVariant"":""QUICK_SIDE""}",QUICK_SIDE,null,null,null,null,null,null,null,null,null,null,null,STARTING_ROOM,10,null
cmly7hgm400iz2rsdcu279kg5,cmlqchx4e000vacukms13ihyy,bo1-verruckt,BO1,starting-room-quick-side-20,First Room (Quick Side) Round 20,CHALLENGE_COMPLETE,false,null,"{""round"":20,""challengeType"":""STARTING_ROOM"",""firstRoomVariant"":""QUICK_SIDE""}",QUICK_SIDE,null,null,null,null,null,null,null,null,null,null,null,STARTING_ROOM,20,null
cmly7hgp300j12rsdb1vqs8br,cmlqchx4e000vacukms13ihyy,bo1-verruckt,BO1,starting-room-quick-side-30,First Room (Quick Side) Round 30,CHALLENGE_COMPLETE,false,null,"{""round"":30,""challengeType"":""STARTING_ROOM"",""firstRoomVariant"":""QUICK_SIDE""}",QUICK_SIDE,null,null,null,null,null,null,null,null,null,null,null,STARTING_ROOM,30,null
cmm86jv8900yxoepntag8iodi,cmlqchxa7001facukyr6vl8c1,buried,BO2,starting-room-processing-10,First Room (Processing) Round 10,CHALLENGE_COMPLETE,true,null,"{""round"":10,""challengeType"":""STARTING_ROOM"",""firstRoomVariant"":""PROCESSING""}",PROCESSING,null,null,null,null,null,null,null,null,null,null,null,STARTING_ROOM,10,null
