"CREDIT: Skrine, Scrappy, Gannon, Freckleston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLICK HERE TO VIEW ALL AVAILABLE INFO AND IT'S LOCATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Perfect Times,,,,,Expected Times,,,,,Roughly Best Possible total time (no dogs),,,,,,,,,,,,,,,,,,,,,,,,Shadows of Evil Symbol Guide,,,,,,AAT Info
Round,Solo,Duo,Trio,Quad,Round,Solo,Duo,Trio,Quad,,Round,Solo,Duo,Trio,Quad,,NADE THROW TIME,,,,,,,,,,,,,,,,,,,,,,,,
1,18.650,20.750,24.950,27.050,1,18.650,20.750,24.950,27.050,1,1,19.03,21.03,25.02,27.06,1,14.65,16.75,20.95,23.05,,Moon 30 SR Round Times Solo,,,Moon 50 SR+ Round Times Solo,,,Moon 30 SR Round Times 2p,,,Moon 50 SR+ Round Times 2p,,,,,,,,,,
2,26.600,25.000,21.150,20.850,2,26.600,25.000,21.150,20.850,2,2,46.56,46.59,46.56,48.6,2,22.6,21,17.15,16.85,,Round,Megas (seconds),Classics (seconds),Round,Megas,Classics,Round,Classics,Megas,Round,Classics,Megas,,,,,,,,
3,35.400,32.900,27.900,26.600,3,35.400,32.900,28.000,26.700,3,3,1:22.10,1:20.14,1:15.10,1:16.13,3,31.4,28.9,23.9,22.6,,1,19.03,19.03,1,19.03,19.03,1,0:49,0:49,1,0:49,0:49,,,,,,,,
4,43.200,40.600,33.000,30.800,4,43.300,40.700,33.000,30.900,4,4,2:05.64,2:01.68,1:48.65,1:47.67,4,39.2,36.6,29,26.8,,2,27.53,27.53,2,27.53,27.53,2,0:28,0:28,2,0:28,0:28,,,,,,,,
5,52.850,46.400,37.400,36.000,5,52.950,46.500,37.500,36.100,5,5,2:59.18,2:49.23,2:27.20,2:24.21,5,48.85,42.4,33.4,32,,3,35.54,35.54,3,35.54,35.54,3,0:38,0:38,3,0:38,0:38,,,,,,,,
6,55.500,50.100,42.200,39.000,6,55.600,50.200,42.400,39.200,6,6,3:54.71,3:39.77,3:09.74,3:03.75,6,51.5,46.1,38.2,35,,4,43.54,43.54,4,43.54,43.54,4,0:48,0:48,4,0:48,0:48,,,,,,,,
7,54.450,49.800,41.850,41.400,7,54.550,49.900,41.950,41.500,7,7,4:49.25,4:30.32,3:52.30,3:46.29,7,50.45,45.8,37.85,37.4,,5,go to pap,53.54,5,go to pap,53.54,5,~ 0:55,/ 1:41,5,0:55,1:41,,,,,,,,
8,53.100,49.400,42.000,40.650,8,53.100,49.500,42.200,40.850,8,8,5:42.79,5:20.86,4:34.83,4:27.83,8,49.1,45.4,38,36.65,,6,50,go to pap,6,0:50,go to pap,6,/ 2:00-2:05,0:56,6,2:00,0:56,,,,,,,,
9,53.200,48.900,43.400,42.850,9,53.300,49.000,43.500,43.050,9,9,6:36.34,6:10.41,5:19.40,5:11.38,9,49.2,44.9,39.4,38.85,,7,50,50,7,0:50,0:50,7,0:57,0:57,7,0:57,0:57,,,,,,,,
10,55.800,55.650,50.950,51.100,10,55.900,55.850,51.150,51.400,10,10,7:32.88,7:06.96,6:10.94,6:02.93,10,51.8,51.65,46.95,47.1,,8,go to pap,49,8,go to pap,0:49,8,0:56,/ 1:35,8,0:56,1:35,,,,,,,,
11,55.500,56.600,55.500,56.600,11,55.700,56.700,55.800,56.900,11,11,8:28.43,8:04.51,7:07.48,7:00.46,11,51.5,52.6,51.5,52.6,,9,46,go to pap,9,0:46,go to pap,9,/ 1:39,0:51,9,1:39,0:51,,,,,,,,
12,56.350,58.200,57.000,01:02.600,12,56.450,58.400,57.200,01:03.000,12,12,9:24.97,9:03.08,8:05.04,8:04.01,12,52.35,54.2,53,59.55,,10,49,49,10,0:49,0:49,10,0:56,0:56,10,0:58,0:58,,,,,,,,
13,58.200,01:00.300,01:02.400,01:03.900,13,58.300,01:00.500,01:02.700,01:04.300,13,13,10:23.49,10:03.61,9:08.59,9:08.55,13,54.2,56.53,59.55,1:00.54,,11,go to pap,48,11,go to pap,0:48,11,1:00,/ 1:38,11,1:00,1:38,,,,,,,,
14,58.600,01:01.900,01:03.750,01:10.200,14,58.700,01:02.100,01:04.150,01:10.700,14,14,11:23.04,11:06.15,10:13.12,10:20.09,14,54.6,58.54,1:00.53,1:07.54,,12,45,go to pap,12,0:45,go to pap,12,/ 1:44,0:56,12,1:44,0:56,,,,,,,,
15,59.900,01:06.150,01:09.800,01:17.400,15,01:00.100,01:06.350,01:10.200,01:17.900,15,15,12:23.58,12:12.71,11:23.66,11:38.64,15,56.54,1:02.56,1:04.54,1:14.55,,13,46,46,13,0:46,0:46,13,0:58,0:58,13,0:58,0:58,,,,,,,,
16,01:00.900,01:07.800,01:10.100,01:17.000,16,01:01.000,01:08.000,01:10.500,01:17.600,16,16,13:25.12,13:21.26,12:35.21,12:57.18,16,57.54,1:04.55,1:07.55,1:14.54,,14,46,46,14,go to pap,0:46,14,1:01,/ 1:40,14,1:01,1:40,,,,,,,,
17,01:01.600,01:08.850,01:16.100,01:24.200,17,01:01.800,01:09.150,01:16.600,01:24.900,17,17,14:27.65,14:30.81,13:52.76,14:22.73,17,58.53,1:05.55,1:13.55,1:21.55,,15,48,48,15,0:45,go to pap,15,/ 1:44,0:57,15,1:44,0:57,,,,,,,,
18,01:02.000,01:13.350,01:15.150,01:31.400,18,01:02.200,01:13.650,01:15.650,01:32.200,18,18,15:30.20,15:45.37,15:09.30,15:55.28,18,58.55,1:10.56,1:12.54,1:28.55,,16,48,48,16,0:46,0:46,16,1:01,1:01,16,1:01,1:01,,,,,,,,
19,01:02.100,01:13.500,01:21.000,01:28.550,19,01:02.300,01:13.800,01:21.600,01:29.350,19,19,16:32.74,16:59.89,16:31.85,17:24.83,19,58.54,1:10.52,1:18.55,1:25.55,,17,47,47,17,go to pap,0:45,17,1:02,1:02,17,1:02,1:45,,,,,,,,
20,01:02.750,01:14.350,01:27.750,01:36.250,20,01:02.950,01:14.650,01:28.350,01:37.250,20,20,17:36.28,18:15.44,18:00.40,19:02.37,20,59.54,1:11.55,1:24.55,1:33.54,,18,50,50,18,0:44,go to pap,18,1:06,1:06,18,1:50,1:00,,,,,,,,
21,01:02.200,01:18.900,01:25.000,01:43.950,21,01:02.400,01:19.300,01:25.700,01:44.950,21,21,18:38.83,19:34.99,19:26.95,20:47.92,21,58.55,1:15.55,1:22.55,1:41.55,,19,49,49,19,0:44,0:44,19,1:05,1:05,19,1:02,1:02,,,,,,,,
22,01:05.400,01:18.600,01:31.400,01:52.000,22,01:05.600,01:19.000,01:32.200,01:53.100,22,22,19:45.37,20:54.53,20:59.49,22:41.47,22,1:02.54,1:15.54,1:28.54,1:49.55,,20,51,51,20,0:46,0:46,20,1:10,1:10,20,1:04,1:50,,,,,,,,
23,01:05.100,01:23.400,01:37.800,01:45.000,23,01:05.400,01:23.800,01:38.600,01:46.300,23,23,20:50.91,22:19.08,22:39.05,24:28.02,23,1:01.54,1:20.55,1:35.56,1:42.55,,21,51,51,21,0:45,0:45,21,1:09,1:09,21,1:55,1:02,,,,,,,,
24,01:04.400,01:21.900,01:33.100,01:52.800,24,01:04.700,01:22.400,01:34.000,01:54.100,24,24,21:56.46,23:41.63,24:13.59,26:22.57,24,1:01.55,1:18.55,1:30.54,1:50.55,,22,52,52,22,0:46,0:46,22,1:13,1:13,22,1:04,1:04,,Symbol 1,,,,,,
25,01:07.900,01:26.850,01:39.400,02:00.600,25,01:08.100,01:27.350,01:40.400,02:02.100,25,25,23:04.99,25:09.19,25:55.13,28:25.10,25,1:04.53,1:23.56,1:37.54,1:58.53,,23,51,51,23,0:45,0:45,23,1:12,1:12,23,1:07,1:55,,,,,,,,
26,01:06.550,01:24.600,01:45.700,02:09.000,26,01:06.850,01:25.100,01:46.700,02:10.600,26,26,24:12.53,26:34.72,27:42.68,30:36.66,26,1:03.54,1:21.53,1:43.55,2:07.56,,24,54,54,24,0:47,0:47,24,1:16,1:16,24,2:00,1:05,,,,,,,,
27,01:09.800,01:29.600,01:52.350,02:17.400,27,01:10.100,01:30.200,01:53.550,02:19.100,27,27,25:23.07,28:05.28,29:37.22,32:56.21,27,1:06.54,1:26.56,1:50.54,2:15.55,,25,53,53,25,0:48,0:48,25,1:14,1:14,25,1:03,1:03,,,,,,,,
28,01:08.400,01:34.600,01:44.100,02:04.100,28,01:08.800,01:35.200,01:45.300,02:06.100,28,28,26:32.62,29:40.82,31:23.77,35:02.76,28,1:05.55,1:31.54,1:42.55,2:02.55,,26,55,55,26,0:48,0:48,26,1:18,1:18,26,1:05,2:00,,,,,,,,
29,01:11.400,01:30.900,01:50.100,02:11.850,29,01:11.700,01:31.500,01:51.400,02:13.950,29,29,27:45.16,31:13.38,33:16.32,37:17.30,29,1:08.54,1:28.56,1:48.55,2:10.54,,27,54,54,27,0:47,0:48,27,1:23,1:23,27,2:00,1:05,,,,,,,,
30,01:09.800,01:35.850,01:56.700,02:19.850,30,01:10.200,01:36.550,01:58.100,02:22.150,30,30,28:55.71,,35:14.88,,,,,,,,28,55,55,28,0:48,0:50,28,1:19,1:19,28,1:04,1:04,,,,,,,,
31,01:12.550,01:30.600,02:03.000,02:27.850,31,01:12.950,01:31.400,02:04.500,02:30.250,31,31,30:09.26,,,,,,,,,,29,57,57,29,0:48,0:47,29,1:23,1:23,29,1:05,2:00,,,,,,,,
32,01:10.100,01:35.400,02:09.900,02:36.350,32,01:10.500,01:36.100,02:11.500,02:38.950,32,32,31:19.80,,,,,,,,,,Total Time,25:36,26:24,30,0:50,0:50,Total Time,,,30,2:00,1:05,,,,,,,,
33,01:13.100,01:40.200,01:56.350,02:45.350,33,01:13.600,01:41.000,01:58.150,02:48.050,33,33,32:33.34,,,,,,,,,,,,,31,0:51,0:51,,,,31,1:05,1:05,,,,,,,,
34,01:09.750,01:45.000,02:02.350,02:22.000,34,01:10.250,01:45.900,02:04.250,02:25.100,34,34,33:43.88,,,,,,,,,,,,,32,0:53,0:53,,,,32,1:06,1:06,,,,,,,,
35,01:12.450,01:37.650,02:08.600,02:29.400,35,01:12.950,01:38.650,02:10.600,02:32.700,35,35,34:57.42,,,,,,,,,,,,,33,0:50,0:50,,,,33,1:08,1:08,,,,,,,,
